concessionaria;praca_de_pedagio;ano_do_pnv_snv;rodovia;uf;km_m;municipio;tipo_pista;sentido;situacao;data_da_inativacao;latitude;longitude
NOVA 381;Free Flow Belo Oriente - P04;2022;BR-381;MG;227,500;Belo Oriente;Principal;Crescente/Decrescente;Ativo;;-19,348242;-42,433175
NOVA 381;Free Flow Governador Valadares - P05;2022;BR-381;MG;176,550;Governador Valadares;Principal;Crescente/Decrescente;Ativo;;-19,028744;-42,147708
PANTANAL;P1-Mundo Novo;2014;BR-163;MS;28,200;Mundo Novo;Principal;Crescente/Decrescente;Ativo;;-23,865169;-54,329788
PANTANAL;P2-Itaquirai;2014;BR-163;MS;113,000;Itaquiraí;Principal;Crescente/Decrescente;Ativo;;-23,167432;-54,198970
PANTANAL;P3-Caarapó;2014;BR-163;MS;228,200;Caarapó;Principal;Crescente/Decrescente;Ativo;;-22,476042;-54,860799
PANTANAL;P4-Rio Brilhante;2014;BR-163;MS;313,500;Rio Brilhante;Principal;Crescente/Decrescente;Ativo;;-21,865146;-54,528504
PANTANAL;P5-Campo Grande;2014;BR-163;MS;431,800;Campo Grande;Principal;Crescente/Decrescente;Ativo;;-20,882783;-54,504644
PANTANAL;P6-Jaraguari;2014;BR-163;MS;533,800;Jaraguari;Principal;Crescente/Decrescente;Ativo;;-20,040000;-54,410000
PANTANAL;P7-São Gabriel;2014;BR-163;MS;605,000;São Gabriel do Oeste;Principal;Crescente/Decrescente;Ativo;;-19,473376;-54,496991
PANTANAL;P8-Rio Verde;2014;BR-163;MS;704,300;Rio Verde de Mato Grosso;Principal;Crescente/Decrescente;Ativo;;-18,722782;-54,814951
PANTANAL;P9-Sonora;2014;BR-163;MS;819,200;Sonora;Principal;Crescente/Decrescente;Ativo;;-17,766671;-54,750815
PRVIAS;P01 SERTANEJA;2023;323;PR;2,970;Sertaneja;Principal;Crescente/Decrescente;Ativo;;-22,915601;-50,817212
PRVIAS;P03 ORTIGUEIRA;2023;BR-376;PR;316,350;Ortigueira;Principal;Crescente/Decrescente;Ativo;;-24,034399;-51,089008
PRVIAS;P04 IMBAÚ;2023;BR-376;PR;370,950;Ortigueira;Principal;Crescente/Decrescente;Ativo;;-24,382178;-50,790301
PRVIAS;P05 TIBAGI;2023;BR-376;PR;448,550;Tibagi;Principal;Crescente/Decrescente;Ativo;;-24,923695;-50,409044
PRVIAS;P06 WITMARSUM;2023;BR-376;PR;529,850;Palmeira;Principal;Crescente/Decrescente;Ativo;;-25,346974;-49,843065
RIOSP;Free Flow PPF001 Sul - PFS001 Sul;2000;BR-116;SP;206,000;Guarulhos;Principal;Crescente;Ativo;;-23,417379;-46,376470
RIOSP;Free Flow PPF001 Sul - PFS002 Sul;2000;BR-116;SP;206,000;Guarulhos;Principal;Crescente;Ativo;;-23,417379;-46,376470
RIOSP;Free Flow PPF001 Sul - PFS003 Sul;2000;BR-116;SP;206,000;Guarulhos;Principal;Crescente;Ativo;;-23,417379;-46,376470
RIOSP;Free Flow PPF001 Sul - PFS004 Sul;2000;BR-116;SP;206,000;Guarulhos;Principal;Crescente;Ativo;;-23,417379;-46,376470
RIOSP;Free Flow PPF001 Sul - PFS005 Sul;2000;BR-116;SP;206,000;Guarulhos;Principal;Crescente;Ativo;;-23,417379;-46,376470
RIOSP;Free Flow PFE001 - PFS001 Sul;2000;BR-116;SP;211,700;Guarulhos;Principal;Crescente;Ativo;;-23,435120;-46,426737
RIOSP;Free Flow PFE001 - PFS002 Sul;2000;BR-116;SP;211,700;Guarulhos;Principal;Crescente;Ativo;;-23,435120;-46,426737
RIOSP;Free Flow PFE001 - PFS003 Sul;2000;BR-116;SP;211,700;Guarulhos;Principal;Crescente;Ativo;;-23,435120;-46,426737
RIOSP;Free Flow PFE001 - PFS004 Sul;2000;BR-116;SP;211,700;Guarulhos;Principal;Crescente;Ativo;;-23,435120;-46,426737
RIOSP;Free Flow PFE001 - PFS005 Sul;2000;BR-116;SP;211,700;Guarulhos;Principal;Crescente;Ativo;;-23,435120;-46,426737
RIOSP;Free Flow PFE002 - PFS002 Sul;2000;BR-116;SP;219,000;Guarulhos;Principal;Crescente;Ativo;;-23,463679;-46,495578
RIOSP;Free Flow PFE002 - PFS003 Sul;2000;BR-116;SP;219,000;Guarulhos;Principal;Crescente;Ativo;;-23,463679;-46,495578
RIOSP;Free Flow PFE002 - PFS004 Sul;2000;BR-116;SP;219,000;Guarulhos;Principal;Crescente;Ativo;;-23,463679;-46,495578
RIOSP;Free Flow PFE002 - PFS005 Sul;2000;BR-116;SP;219,000;Guarulhos;Principal;Crescente;Ativo;;-23,463679;-46,495578
RIOSP;Free Flow PFE003 - PFS002 Sul;2000;BR-116;SP;224,400;Guarulhos;Principal;Crescente;Ativo;;-23,484416;-46,539191
RIOSP;Free Flow PFE003 - PFS003 Sul;2000;BR-116;SP;224,400;Guarulhos;Principal;Crescente;Ativo;;-23,484416;-46,539191
RIOSP;Free Flow PFE003 - PFS004 Sul;2000;BR-116;SP;224,400;Guarulhos;Principal;Crescente;Ativo;;-23,484416;-46,539191
RIOSP;Free Flow PFE003 - PFS005 Sul;2000;BR-116;SP;224,400;Guarulhos;Principal;Crescente;Ativo;;-23,484416;-46,539191
RIOSP;Free Flow PFE004 - PFS003 Sul;2000;BR-116;SP;227,000;São Paulo;Principal;Crescente;Ativo;;-23,497507;-46,560039
RIOSP;Free Flow PFE004 - PFS004 Sul;2000;BR-116;SP;227,000;São Paulo;Principal;Crescente;Ativo;;-23,497507;-46,560039
RIOSP;Free Flow PFE004 - PFS005 Sul;2000;BR-116;SP;227,000;São Paulo;Principal;Crescente;Ativo;;-23,497507;-46,560039
RIOSP;Free Flow PFE005 - BAIRRO Norte;2000;BR-116;SP;231,300;São Paulo;Principal;Decrescente;Ativo;;-23,526095;-46,588329
RIOSP;Free Flow PFE005 - PEDARD Norte;2000;BR-116;SP;231,300;São Paulo;Principal;Decrescente;Ativo;;-23,526095;-46,588329
RIOSP;Free Flow PFE005 - PEDARU Norte;2000;BR-116;SP;231,300;São Paulo;Principal;Decrescente;Ativo;;-23,526095;-46,588329
RIOSP;Free Flow PFE005 - PFS006 Norte;2000;BR-116;SP;231,300;São Paulo;Principal;Decrescente;Ativo;;-23,526095;-46,588329
